region_index,region_label,hemisphere,x_mm,y_mm,z_mm
126,region_126,L,-24.557,-68.612,-26.286
127,region_127,L,-14.687,-6.622,15.105
128,region_128,L,-29.016,-21.365,-5.102
129,region_129,L,-16.489,-97.881,10.16
130,region_130,L,-36.687,19.088,38.526
131,region_131,L,-41.586,-29.515,-44.397
132,region_132,L,-22.268,-15.708,-32.18
133,region_133,L,-31.438,65.491,-31.076
134,region_134,L,-31.18,73.085,-18.336
135,region_135,L,-41.971,-47.867,18.189
136,region_136,L,-23.595,-16.807,78.785
137,region_137,L,-19.888,125.221,-1.592
138,region_138,L,-31.847,-30.508,-12.755
139,region_139,L,-29.894,-25.424,17.806
140,region_140,L,-28.367,130.026,24.703
141,region_141,L,-33.749,4.452,-35.643
142,region_142,L,-25.05,-49.803,-54.838
143,region_143,L,-34.784,-39.111,-6.087
144,region_144,L,-34.013,8.195,-1.084
145,region_145,L,-18.512,-8.584,10.12
146,region_146,L,-27.261,63.969,13.875
147,region_147,L,-21.407,-120.32,50.387
148,region_148,L,-22.337,79.74,-0.012
149,region_149,L,-42.51,26.959,-46.875
150,region_150,L,-28.914,21.287,48.946
151,region_151,L,-14.862,50.075,-24.777
152,region_152,L,-7.454,61.314,19.537
153,region_153,L,-18.608,-58.757,24.59
154,region_154,L,-30.066,-42.355,-41.25
155,region_155,L,-22.737,-73.252,-37.795
156,region_156,L,-35.641,10.949,15.402
157,region_157,L,-31.583,-14.442,65.996
158,region_158,L,-33.535,82.271,-18.536
159,region_159,L,-31.829,-65.482,8.465
160,region_160,L,-31.425,-5.393,2.191
161,region_161,L,-17.128,-52.138,-63.915
162,region_162,L,-31.373,56.702,4.741
163,region_163,L,-27.945,-119.139,-47.15
164,region_164,L,-35.96,-65.885,-68.247
165,region_165,L,-19.48,-3.099,-64.671
166,region_166,L,-8.751,23.983,15.416
167,region_167,L,-23.209,-40.694,-20.588
168,region_168,L,-34.075,-34.921,1.484
169,region_169,L,-47.201,59.479,53.94
170,region_170,L,-42.137,-1.997,53.028
171,region_171,L,-22.34,-4.552,-25.353
172,region_172,L,-15.123,21.792,-25.776
173,region_173,L,-30.758,-74.101,-13.46
174,region_174,L,-32.546,10.151,55.818
175,region_175,L,-34.025,-19.272,28.161
176,region_176,L,-29.684,-6.316,28.937
177,region_177,L,-30.232,-99.681,41.387
178,region_178,L,-26.293,34.74,58.815
179,region_179,L,-34.538,-18.989,-16.072
180,region_180,L,-29.545,-16.719,5.486
181,region_181,R,23.219,26.307,17.509
182,region_182,R,29.84,110.467,75.562
183,region_183,R,30.429,-96.681,-65.378
184,region_184,R,25.903,114.63,-21.496
185,region_185,R,33.434,-31.681,20.975
186,region_186,R,29.303,-114.709,8.924
187,region_187,R,22.485,-17.212,-19.289
188,region_188,R,23.35,61.474,-26.972
189,region_189,R,24.443,42.55,-27.403
190,region_190,R,33.002,10.757,8.331
191,region_191,R,23.87,-25.991,-17.768
192,region_192,R,29.332,-37.381,20.303
193,region_193,R,29.019,-0.08,43.811
194,region_194,R,33.186,1.971,12.533
195,region_195,R,35.047,-6.997,-40.578
196,region_196,R,52.711,11.408,48.201
197,region_197,R,18.044,-6.422,-25.619
198,region_198,R,32.422,-21.796,-36.343
199,region_199,R,26.816,58.4,24.388
200,region_200,R,36.411,45.953,16.3
201,region_201,R,36.007,22.951,-7.555
202,region_202,R,23.516,-18.529,-72.297
203,region_203,R,28.859,-30.778,-2.563
204,region_204,R,42.96,-22.527,-57.898
205,region_205,R,32.711,-29.61,4.805
206,region_206,R,27.514,-38.919,-33.942
207,region_207,R,25.491,-6.878,-54.043
208,region_208,R,15.142,41.443,-6.348
209,region_209,R,31.572,-23.593,-36.692
210,region_210,R,28.503,-15.131,-10.293
211,region_211,R,25.363,-31.871,-49.569
212,region_212,R,25.63,-54.717,43.83
213,region_213,R,34.612,-40.073,-71.399
214,region_214,R,40.56,5.235,6.339
215,region_215,R,26.279,-26.456,-23.498
216,region_216,R,27.813,29.228,14.251
217,region_217,R,29.082,-26.726,-42.17
218,region_218,R,38.655,-41.468,-56.021
219,region_219,R,19.835,-29.291,-1.216
220,region_220,R,51.905,8.3,14.19
221,region_221,R,28.54,-31.485,-26.4
222,region_222,R,29.12,-24.64,-61.736
223,region_223,R,27.983,-69.261,27.168
224,region_224,R,25.929,-31.418,-8.75
225,region_225,R,19.722,-19.607,51.256
226,region_226,R,44.15,3.332,-62.649
227,region_227,R,35.297,42.777,8.365
228,region_228,R,23.404,-52.919,-16.14
229,region_229,R,44.045,74.446,50.661
230,region_230,R,33.856,-40.583,27.301
231,region_231,R,26.777,-6.359,27.915
232,region_232,R,37.52,-20.229,-15.494
233,region_233,R,34.945,-41.762,-13.388
234,region_234,R,16.851,-34.32,-16.653
235,region_235,R,24.596,63.925,-2.503
236,region_236,R,35.059,-43.533,-23.771
237,region_237,R,13.343,-27.59,51.836
238,region_238,R,26.613,-4.349,-18.638
239,region_239,R,41.081,-40.492,51.052
240,region_240,R,21.887,51.324,-2.222
241,region_241,R,29.22,-53.934,-0.807
242,region_242,R,28.992,17.137,-64.122
243,region_243,R,25.98,32.846,32.395
244,region_244,R,32.769,0.767,-33.115
245,region_245,R,33.493,68.018,-5.925
246,region_246,R,45.683,6.291,25.358
247,region_247,R,40.682,12.97,11.465
248,region_248,R,31.681,-85.689,-14.452
249,region_249,R,35.43,10.466,-31.527
250,region_250,R,41.361,-46.02,-1.591
251,region_251,R,23.51,-88.488,66.458
252,region_252,R,31.459,-25.131,30.49
253,region_253,R,31.644,-39.05,-46.09
254,region_254,R,34.952,-29.402,65.447
255,region_255,R,27.529,45.115,34.033
256,region_256,R,25.054,-23.676,15.194
257,region_257,R,21.601,19.544,1.821
258,region_258,R,33.715,126.46,-45.741
259,region_259,R,42.485,72.921,-6.108
260,region_260,R,35.02,-36.374,30.645
261,region_261,R,29.969,-10.563,-45.736
262,region_262,R,43.376,-47.757,19.954
263,region_263,R,27.829,7.285,21.253
264,region_264,R,23.5,23.149,-30.552
265,region_265,R,34.04,30.631,-4.057
266,region_266,R,25.962,55.447,69.892
267,region_267,R,34.976,-117.248,-17.388
268,region_268,R,27.433,25.855,-2.661
269,region_269,R,38.951,13.939,-50.979
270,region_270,R,16.221,63.499,51.344
271,region_271,R,39.687,-63.325,12.811
272,region_272,R,40.482,13.85,1.453
273,region_273,R,38.817,-1.717,80.324
274,region_274,R,40.722,-23.471,-22.989
275,region_275,R,27.411,-32.472,63.028
276,region_276,R,19.365,125.251,29.062
277,region_277,R,26.405,-24.273,-8.62
278,region_278,R,30.171,99.925,4.784
279,region_279,R,24.276,32.345,23.385
280,region_280,R,31.834,29.836,-3.679
281,region_281,R,28.954,-30.744,11.418
282,region_282,R,36.463,-19.549,48.485
283,region_283,R,34.944,-36.55,15.997
284,region_284,R,35.034,16.072,-20.308
285,region_285,R,25.741,-30.546,7.603
286,region_286,R,20.542,-11.121,-44.681
287,region_287,R,38.116,14.597,-27.29
288,region_288,R,23.417,-9.801,31.302
289,region_289,R,23.066,65.029,57.098
290,region_290,R,28.161,-120.49,14.433
291,region_291,R,18.793,-2.724,8.912
292,region_292,R,29.55,-68.065,-24.476
293,region_293,R,24.489,-6.846,-26.794
294,region_294,R,22.557,-14.68,-9.797
295,region_295,R,28.4,76.667,14.752
296,region_296,R,27.075,15.97,-22.67
297,region_297,R,30.489,-12.396,37.526
298,region_298,R,23.105,35.081,1.107
299,region_299,R,23.083,-31.482,-2.69
300,region_300,R,41.967,125.546,-2.544
301,region_301,R,32.181,-25.225,43.984
302,region_302,R,37.627,25.377,-18.657
303,region_303,R,31.656,0.345,28.916
304,region_304,R,35.439,-68.391,10.703
305,region_305,R,36.472,-26.012,40.552
306,region_306,R,24.592,-16.153,29.024
307,region_307,R,23.747,-1.192,-12.695
308,region_308,R,33.851,52.589,-61.24
309,region_309,R,35.128,14.453,-12.165
310,region_310,R,33.927,-58.119,-46.549
311,region_311,R,22.488,-30.474,-27.839
312,region_312,R,23.596,51.059,-2.93
313,region_313,R,15.577,17.238,-82.574
314,region_314,R,41.238,16.638,-38.835
315,region_315,R,34.406,-1.277,11.249
316,region_316,R,39.547,87.517,-10.988
317,region_317,R,25.873,-43.805,-23.301
318,region_318,R,27.249,17.655,12.067
319,region_319,R,18.893,-4.364,8.24
320,region_320,R,37.952,-106.061,-42.949
321,region_321,R,38.294,-28.831,23.177
322,region_322,R,18.682,-33.503,30.086
323,region_323,R,39.418,-34.836,-19.5
324,region_324,R,28.796,-27.223,-44.848
325,region_325,R,34.817,11.231,-23.209
326,region_326,R,34.688,-43.192,-14.504
327,region_327,R,45.034,-13.135,9.458
328,region_328,R,25.4,-12.616,21.088
329,region_329,R,22.991,-82.18,-16.801
330,region_330,R,24.497,2.599,-79.775
331,region_331,R,40.329,-47.79,-57.379
332,region_332,R,29.391,75.162,8.97
333,region_333,R,13.403,-89.282,29.405
334,region_334,R,17.219,70.629,-53.668
335,region_335,R,27.797,-7.516,21.291
336,region_336,R,21.948,108.614,30.991
337,region_337,R,20.326,-127.332,-58.973
338,region_338,R,43.723,-35.52,-30.501
339,region_339,R,38.897,33.753,2.379
340,region_340,R,37.778,-38.048,24.656
341,region_341,R,27.502,-67.811,-12.721
342,region_342,R,32.608,2.108,-13.953
343,region_343,R,31.008,76.772,-6.481
344,region_344,R,26.125,-6.061,6.175
345,region_345,R,24.483,36.989,51.274
346,region_346,R,16.313,-9.306,-1.427
347,region_347,R,21.701,-109.459,17.127
348,region_348,R,37.007,-25.936,1.02
349,region_349,R,21.408,-43.748,57.632
350,region_350,R,35.735,-72.805,-23.132
351,region_351,R,15.908,-63.691,-2.431
352,region_352,R,47.661,30.702,9.586
353,region_353,R,51.167,86.337,21.577
354,region_354,R,35.241,12.753,-24.274
355,region_355,R,33.366,66.972,-10.298
356,region_356,R,27.987,37.368,-3.869
357,region_357,R,27.408,71.197,-5.23
358,region_358,R,32.943,-12.98,-32.541
359,region_359,R,41.609,-58.204,34.641
360,region_360,R,33.576,-57.311,28.596
